of al alloys containing 52
of the actual religious 1461
of the actual remission 82
of the actual rendition 63
of the actual reported 273
of the actual required 162
of the actual reserves 100
of the actual resident 184
of the actual residual 245
of the actual resonant 45
of the actual resource 286
of the actual response 1106
of the actual retention 63
of the actual revenues 426
of the actual reversal 46
of the actual richness 151
of the actual salaries 156
of the actual salvation 52
of the actual sanctions 122
of the actual scarcity 68
of the actual scattering 282
of the actual schedule 161
of the actual scheduling 42
of the actual sciences 70
of the actual secession 44
of the actual secretion 70
of the actual security 194
of the actual sediment 171
of the actual seduction 57
of the actual selection 367
of the actual semantic 132
of the actual sensation 318
of the actual sentence 499
of the actual sequence 1255
of the actual services 811
of the actual settlers 1178
of the actual severity 160
of the actual shipment 223
of the actual shortage 130
of the actual shortening 125
of the actual sickness 93
of the actual situation 27116
of the actual socialist 69
of the actual socrates 114
of the actual software 362
of the actual soldiers 59
of the actual solutions 210
of the actual specific 366
of the actual specimen 386
of the actual spectral 277
of the actual spectrum 337
of the actual speeches 172
of the actual standard 1368
of the actual statutes 58
of the actual stimulus 636
of the actual strategy 136
of the actual stresses 466
of the actual struggle 816
of the actual students 128
of the actual subjects 318
of the actual sufferings 157
of the actual suicides 54
of the actual supplies 54
of the actual surfaces 150
of the actual surgical 210
of the actual survival 153
of the actual symptoms 313
of the actual synthesis 124
of the actual tactical 40
of the actual temporal 309
of the actual tendency 116
of the actual terminal 299
of the actual theatrical 66
of the actual therapist 41
of the actual thickness 1242
of the actual threshold 117
of the actual tradition 52
of the actual transfer 1492
of the actual treatment 1064
of the actual trenches 53
of the actual turnover 263
of the actual ultimate 155
of the actual underlying 800
of the actual universe 2342
of the actual validity 229
of the actual valuation 184
of the actual variables 355
of the actual variations 265
of the actual vehicles 80
of the actual velocity 1774
of the actual vertical 165
of the actual vibration 206
of the actual villages 41
of the actual violations 47
of the actual voltages 69
of the actual waveform 186
of the actual wavelength 48
of the actual wielders 52
of the actual withholding 45
of the actual workload 170
of the actual workshop 77
of the acuter symptoms 44
of the adapting stimulus 730
of the addend register 75
of the adhering surfaces 63
of the admiring affection 45
of the admiring attention 48
of the admiring audience 174
of the admiring citizens 69
of the admiring populace 88
of the admiring thousands 60
of the adonis festival 107
of the adopting authority 73
of the adopting families 138
of the adults admitted 47
of the adults answered 50
of the adults arrested 113
of the adults attended 45
of the adults believed 49
of the adults consists 72
of the adults enrolled 79
of the adults examined 104
of the adults followed 75
of the adults included 40
of the adults involved 2572
of the adults produced 82
of the adults received 64
of the adults remained 83
of the adults reported 219
of the adults returned 43
of the adults suffered 50
of the adults surveyed 602
of the adults survived 53
of the advent calendar 74
of the advent christian 718
of the advent movement 874
of the advice affected 56
of the advice business 75
of the advice concerning 89
of the advice conveyed 49
of the advice obtained 62
of the advice provided 544
of the advice received 731
of the advice referred 84
of the advice rendered 163
of the advice required 56
of the advice showered 49
of the advice tendered 1062
of the aeration capacity 42
of the aerobic activity 66
of the aerobic bacterial 83
of the aerobic capacity 508
of the aerobic digestion 113
of the aerobic exercise 234
of the aerobic nitrogen 60
of the aerobic oxidation 169
of the aerobic treatment 83
of the aerosol compound 123
of the aerosol droplets 263
of the aerosol industry 146
of the aerosol particle 1577
of the aerosol produced 168
of the aerosol products 52
of the aerosol scattering 408
of the aerosol spectrum 62
of the affair concerning 108
of the affair demanded 66
of the affair depended 45
of the affair differed 53
of the affair directly 47
of the affair entirely 182
of the affair included 63
of the affair occurred 115
of the affair presenting 40
of the affair produced 44
of the affair provided 43
of the affair received 60
of the affair referred 47
of the affair remained 131
of the affair rendered 56
of the affair required 133
of the affair requires 49
of the affair respecting 45
of the affair resulted 44
of the affair somewhat 85
of the affair suddenly 108
of the affair suggests 73
of the affair unscathed 47
of the affair whatever 134
of the affect attached 51
of the affect involved 124
of the affect produced 40
of the affine invariant 118
of the afghan boundary 1025
of the afghan campaign 866
of the afghan conflict 2298
of the afghan conquest 45
of the afghan contingent 41
of the afghan disaster 74
of the afghan dominions 144
of the afghan fighters 80
of the afghan frontier 3407
of the afghan garrison 57
of the afghan generals 60
of the afghan governor 129
of the afghan horsemen 88
of the afghan imbroglio 95
of the afghan invaders 136
of the afghan invasions 98
of the afghan islamist 53
of the afghan military 356
of the afghan minister 67
of the afghan ministry 118
of the afghan monarchy 705
of the afghan nobility 175
of the afghan officers 84
of the afghan officials 110
of the afghan operation 134
of the afghan populace 59
of the afghan province 106
of the afghan rebellion 103
of the afghan refugees 1715
